"User-controlled bypass of sensitive method","User-controlled bypassing of sensitive methods may allow attackers to avoid passing through authentication systems.","error","This condition guards a sensitive [[""action""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:646:28:646:107""]], but a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:181:536:193""]] controls it.
This condition guards a sensitive [[""action""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:661:28:661:108""]], but a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:181:536:193""]] controls it.
This condition guards a sensitive [[""action""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:675:46:675:139""]], but a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:181:536:193""]] controls it.
This condition guards a sensitive [[""action""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:646:28:646:107""]], but a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:181:536:193""]] controls it.","/ServerEye.API/Controllers/Auth/AuthController.cs","640","17","640","62"
"User-controlled bypass of sensitive method","User-controlled bypassing of sensitive methods may allow attackers to avoid passing through authentication systems.","error","This condition guards a sensitive [[""action""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:646:28:646:107""]], but a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:181:536:193""]] controls it.
This condition guards a sensitive [[""action""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:661:28:661:108""]], but a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:181:536:193""]] controls it.
This condition guards a sensitive [[""action""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:675:46:675:139""]], but a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:181:536:193""]] controls it.","/ServerEye.API/Controllers/Auth/AuthController.cs","640","17","640","29"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/User/UsersController.cs:107:83:107:89""]].","/ServerEye.API/Controllers/User/UsersController.cs","121","76","121","112"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:418:157:418:162""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","442","17","442","32"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:505:103:505:109""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","530","98","530","113"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:154:536:161""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","768","98","768","105"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:75:536:78""]].
This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:128:536:131""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","561","17","561","48"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:128:536:131""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","562","17","562","48"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:101:536:105""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","563","17","563","54"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:259:536:264""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","564","17","564","55"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:101:536:105""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","566","17","566","64"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:101:536:105""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","567","17","567","56"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:75:536:78""]].
This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:128:536:131""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","572","131","572","162"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:128:536:131""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","572","165","572","196"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:101:536:105""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","572","199","572","236"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///ServerEye.API/Controllers/Auth/AuthController.cs:536:101:536:105""]].","/ServerEye.API/Controllers/Auth/AuthController.cs","585","124","585","138"
